ticket_id,request_id,requestor_seniority,filed_against,ticket_type,severity,priority,max_days
58,1271,2 - Regular,Systems,Issue,2 - Normal,3 - High,9
59,1794,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0
60,1289,1 - Junior,Systems,Request,2 - Normal,1 - Low,14
61,469,2 - Regular,Systems,Request,2 - Normal,2 - Medium,14
62,846,3 - Senior,Software,Request,2 - Normal,3 - High,5
63,1021,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
64,39,4 - Management,Access/Login,Request,2 - Normal,3 - High,0
65,1579,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,5
66,1811,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,26
67,1142,2 - Regular,Access/Login,Request,1 - Minor,1 - Low,0
68,479,2 - Regular,Software,Request,1 - Minor,2 - Medium,13
69,1941,2 - Regular,Software,Request,4 - Critical,3 - High,3
70,995,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0
71,1099,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
72,294,2 - Regular,Access/Login,Issue,2 - Normal,1 - Low,0
73,228,4 - Management,Systems,Request,2 - Normal,3 - High,5
74,176,3 - Senior,Access/Login,Request,4 - Critical,3 - High,1
75,1883,2 - Regular,Software,Request,2 - Normal,1 - Low,9
76,668,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0
77,1178,1 - Junior,Systems,Request,4 - Critical,0 - Unassigned,17
78,1065,2 - Regular,Access/Login,Issue,2 - Normal,2 - Medium,1
79,839,4 - Management,Hardware,Issue,2 - Normal,3 - High,8
80,1100,2 - Regular,Software,Request,2 - Normal,1 - Low,6
81,1982,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6
82,1599,2 - Regular,Hardware,Issue,2 - Normal,1 - Low,14
83,721,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,13
84,886,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
85,598,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0
86,77,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,7
87,1058,4 - Management,Access/Login,Request,3 - Major,0 - Unassigned,0
88,643,1 - Junior,Systems,Request,2 - Normal,1 - Low,16
89,1413,2 - Regular,Systems,Request,2 - Normal,3 - High,6
90,420,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,9
91,1903,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,13
92,448,4 - Management,Systems,Request,2 - Normal,3 - High,5
93,68,4 - Management,Software,Request,2 - Normal,3 - High,7
94,81,1 - Junior,Software,Request,2 - Normal,3 - High,4
95,806,3 - Senior,Systems,Request,2 - Normal,3 - High,16
96,173,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,1
97,434,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,1
98,1653,2 - Regular,Systems,Request,2 - Normal,3 - High,8
99,1167,2 - Regular,Systems,Request,2 - Normal,1 - Low,16
100,634,2 - Regular,Software,Request,2 - Normal,2 - Medium,7
101,1219,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
102,355,4 - Management,Software,Request,2 - Normal,3 - High,4
103,1272,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,10
104,1694,3 - Senior,Access/Login,Issue,2 - Normal,0 - Unassigned,3
105,1884,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,22
106,71,1 - Junior,Systems,Request,3 - Major,1 - Low,8
107,1815,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,11
108,913,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5
109,1652,4 - Management,Access/Login,Issue,2 - Normal,3 - High,0
110,1857,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
111,245,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0
112,366,1 - Junior,Hardware,Request,2 - Normal,1 - Low,31
113,264,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0
114,1678,4 - Management,Systems,Request,2 - Normal,3 - High,8
115,1206,2 - Regular,Systems,Request,2 - Normal,3 - High,16
116,837,4 - Management,Access/Login,Request,2 - Normal,3 - High,0
117,1637,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6
118,1585,3 - Senior,Systems,Request,2 - Normal,3 - High,6
119,721,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,1
120,230,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0
121,1286,4 - Management,Hardware,Request,2 - Normal,3 - High,16
122,1959,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
123,188,2 - Regular,Systems,Request,2 - Normal,1 - Low,8
124,1575,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
125,717,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,17
126,1066,4 - Management,Systems,Request,2 - Normal,3 - High,21
127,1637,3 - Senior,Software,Issue,2 - Normal,0 - Unassigned,2
128,307,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,1
129,241,3 - Senior,Systems,Issue,2 - Normal,3 - High,3
130,57,2 - Regular,Software,Request,2 - Normal,2 - Medium,17
131,680,1 - Junior,Systems,Request,1 - Minor,0 - Unassigned,9
132,795,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,10
133,285,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,21
134,173,4 - Management,Systems,Request,2 - Normal,3 - High,16
135,1948,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0
136,600,4 - Management,Access/Login,Request,2 - Normal,2 - Medium,1
137,346,3 - Senior,Software,Request,3 - Major,2 - Medium,13
138,1512,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5
139,1448,2 - Regular,Software,Issue,2 - Normal,1 - Low,3
140,1721,1 - Junior,Systems,Issue,2 - Normal,1 - Low,4
141,946,1 - Junior,Software,Request,2 - Normal,2 - Medium,8
142,1914,3 - Senior,Systems,Request,2 - Normal,3 - High,6
143,1700,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0
144,1451,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,10
145,740,2 - Regular,Systems,Request,2 - Normal,3 - High,6
146,825,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
147,325,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,5
148,1098,2 - Regular,Systems,Request,2 - Normal,2 - Medium,5
149,761,1 - Junior,Systems,Request,2 - Normal,1 - Low,13
150,1900,4 - Management,Systems,Request,2 - Normal,3 - High,9
151,584,2 - Regular,Software,Issue,2 - Normal,3 - High,5
152,600,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,10
153,718,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,1
154,1315,3 - Senior,Systems,Request,2 - Normal,2 - Medium,18
155,1594,3 - Senior,Software,Issue,4 - Critical,3 - High,3
156,278,2 - Regular,Systems,Request,2 - Normal,3 - High,5
157,1282,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,0
158,1646,2 - Regular,Systems,Request,2 - Normal,3 - High,5
159,1781,4 - Management,Software,Request,3 - Major,3 - High,4
160,900,4 - Management,Systems,Issue,2 - Normal,3 - High,10
161,916,4 - Management,Systems,Request,2 - Normal,1 - Low,6
162,2000,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0
163,1458,1 - Junior,Systems,Request,2 - Normal,1 - Low,8
164,97,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
165,1464,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,15
166,1749,2 - Regular,Hardware,Request,2 - Normal,1 - Low,31
167,351,2 - Regular,Systems,Issue,2 - Normal,3 - High,2
168,795,2 - Regular,Software,Request,2 - Normal,3 - High,8
169,1822,2 - Regular,Access/Login,Issue,3 - Major,3 - High,0
170,272,2 - Regular,Software,Request,2 - Normal,3 - High,2
171,1930,2 - Regular,Systems,Request,2 - Normal,1 - Low,6
172,387,2 - Regular,Software,Issue,2 - Normal,0 - Unassigned,2
173,671,2 - Regular,Access/Login,Issue,2 - Normal,1 - Low,0
174,52,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
175,874,4 - Management,Access/Login,Request,2 - Normal,3 - High,0
176,1595,3 - Senior,Hardware,Request,2 - Normal,3 - High,11
177,1738,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
178,519,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0
179,923,4 - Management,Software,Issue,2 - Normal,0 - Unassigned,4
180,1994,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0
181,570,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,14
182,954,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,12
183,446,1 - Junior,Hardware,Issue,2 - Normal,1 - Low,5
184,908,1 - Junior,Hardware,Request,2 - Normal,3 - High,12
185,778,1 - Junior,Hardware,Issue,2 - Normal,0 - Unassigned,15
186,1201,1 - Junior,Software,Request,2 - Normal,2 - Medium,6
187,46,4 - Management,Access/Login,Request,2 - Normal,3 - High,1
188,992,1 - Junior,Systems,Issue,2 - Normal,0 - Unassigned,3
189,678,3 - Senior,Systems,Request,2 - Normal,3 - High,6
190,1793,1 - Junior,Access/Login,Issue,3 - Major,0 - Unassigned,0
191,1441,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,2
192,774,2 - Regular,Systems,Request,2 - Normal,2 - Medium,16
193,349,2 - Regular,Systems,Request,2 - Normal,1 - Low,20
194,1051,4 - Management,Hardware,Issue,2 - Normal,0 - Unassigned,9
195,1709,2 - Regular,Hardware,Request,3 - Major,0 - Unassigned,10
196,1514,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5
197,856,2 - Regular,Systems,Issue,2 - Normal,3 - High,4
198,1019,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,1
199,901,4 - Management,Access/Login,Request,3 - Major,0 - Unassigned,1
200,359,1 - Junior,Systems,Request,2 - Normal,1 - Low,12
201,525,4 - Management,Software,Request,2 - Normal,3 - High,2
202,1192,3 - Senior,Hardware,Issue,0 - Unclassified,3 - High,5
203,177,3 - Senior,Systems,Request,2 - Normal,2 - Medium,5
204,1936,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0
205,322,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,12
206,1427,2 - Regular,Systems,Request,2 - Normal,3 - High,19
207,1452,1 - Junior,Software,Request,2 - Normal,3 - High,4
208,1400,2 - Regular,Hardware,Request,2 - Normal,1 - Low,11
209,1792,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,32
210,1445,2 - Regular,Systems,Request,2 - Normal,3 - High,5
211,712,4 - Management,Hardware,Request,2 - Normal,3 - High,12
212,454,4 - Management,Systems,Issue,3 - Major,3 - High,2
213,1415,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,1
214,961,3 - Senior,Software,Issue,3 - Major,2 - Medium,7
215,844,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,13
216,569,3 - Senior,Software,Request,2 - Normal,3 - High,2
217,1527,1 - Junior,Software,Request,2 - Normal,1 - Low,6
218,913,3 - Senior,Software,Issue,2 - Normal,3 - High,3
219,624,1 - Junior,Systems,Request,2 - Normal,1 - Low,14
220,720,4 - Management,Systems,Request,2 - Normal,3 - High,18
221,1234,3 - Senior,Systems,Issue,1 - Minor,3 - High,1
222,237,1 - Junior,Systems,Issue,2 - Normal,1 - Low,3
223,483,4 - Management,Systems,Request,2 - Normal,3 - High,6
224,801,4 - Management,Systems,Request,2 - Normal,3 - High,12
225,1796,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0
226,1544,2 - Regular,Access/Login,Request,1 - Minor,3 - High,0
227,1801,3 - Senior,Software,Request,2 - Normal,3 - High,3
228,630,1 - Junior,Access/Login,Issue,2 - Normal,2 - Medium,0
229,698,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0
230,1566,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,15
231,1860,1 - Junior,Systems,Request,2 - Normal,1 - Low,13
232,524,2 - Regular,Systems,Request,2 - Normal,2 - Medium,8
233,507,2 - Regular,Software,Issue,2 - Normal,1 - Low,12
234,1660,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,18
235,705,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0
236,1859,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,15
237,142,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0
238,461,4 - Management,Software,Request,2 - Normal,2 - Medium,7
239,683,4 - Management,Access/Login,Request,2 - Normal,3 - High,1
240,1411,4 - Management,Hardware,Request,2 - Normal,3 - High,13
241,499,2 - Regular,Systems,Request,2 - Normal,3 - High,8
242,1200,2 - Regular,Systems,Request,2 - Normal,1 - Low,18
243,1438,2 - Regular,Software,Request,2 - Normal,1 - Low,9
244,1011,2 - Regular,Software,Issue,2 - Normal,2 - Medium,2
245,1471,3 - Senior,Systems,Issue,2 - Normal,3 - High,1
246,1401,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6
247,1579,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
248,704,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
249,521,3 - Senior,Access/Login,Issue,2 - Normal,2 - Medium,0
250,1745,3 - Senior,Systems,Request,2 - Normal,3 - High,6
251,1052,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0
252,1025,3 - Senior,Systems,Request,2 - Normal,3 - High,21
253,767,2 - Regular,Software,Request,2 - Normal,3 - High,13
254,817,4 - Management,Systems,Request,2 - Normal,3 - High,7
255,1847,3 - Senior,Software,Issue,2 - Normal,3 - High,2
256,1801,3 - Senior,Systems,Issue,2 - Normal,3 - High,1
257,292,1 - Junior,Software,Request,2 - Normal,1 - Low,7
258,1011,2 - Regular,Systems,Issue,2 - Normal,1 - Low,3
259,73,4 - Management,Access/Login,Request,3 - Major,3 - High,0
260,1373,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,5
261,108,2 - Regular,Systems,Request,2 - Normal,3 - High,6
262,1344,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0
263,1990,1 - Junior,Systems,Request,3 - Major,3 - High,12
264,1547,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,2
265,1641,2 - Regular,Systems,Request,2 - Normal,2 - Medium,15
266,1859,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,6
267,1045,4 - Management,Access/Login,Request,4 - Critical,0 - Unassigned,0
268,166,2 - Regular,Access/Login,Issue,2 - Normal,2 - Medium,0
269,1591,3 - Senior,Hardware,Issue,2 - Normal,0 - Unassigned,7
270,551,4 - Management,Systems,Issue,2 - Normal,0 - Unassigned,5
271,1631,4 - Management,Systems,Request,2 - Normal,3 - High,7
272,1002,4 - Management,Hardware,Request,2 - Normal,3 - High,15
273,443,2 - Regular,Systems,Request,2 - Normal,3 - High,20
274,562,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,1
275,1185,2 - Regular,Systems,Request,1 - Minor,0 - Unassigned,5
276,805,2 - Regular,Software,Issue,2 - Normal,1 - Low,3
277,1878,1 - Junior,Systems,Request,2 - Normal,1 - Low,16
278,317,1 - Junior,Software,Request,2 - Normal,2 - Medium,8
279,676,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0
280,1225,3 - Senior,Access/Login,Issue,2 - Normal,2 - Medium,1
281,1315,3 - Senior,Access/Login,Issue,4 - Critical,0 - Unassigned,1
282,563,3 - Senior,Systems,Issue,2 - Normal,3 - High,7
283,367,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,7
284,1966,2 - Regular,Hardware,Issue,2 - Normal,3 - High,5
285,167,4 - Management,Systems,Issue,2 - Normal,3 - High,2
286,1184,1 - Junior,Software,Issue,2 - Normal,2 - Medium,1
287,1177,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6
288,700,3 - Senior,Software,Request,2 - Normal,3 - High,2
289,635,1 - Junior,Systems,Request,2 - Normal,1 - Low,18
290,1779,2 - Regular,Software,Issue,4 - Critical,3 - High,7
291,1909,2 - Regular,Software,Request,2 - Normal,3 - High,4
292,1968,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,0
293,1420,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5
294,907,4 - Management,Systems,Request,2 - Normal,3 - High,23
295,335,4 - Management,Software,Request,2 - Normal,3 - High,5
296,640,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,14
297,1859,3 - Senior,Access/Login,Issue,2 - Normal,3 - High,0
298,1095,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,9
299,1789,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
300,1339,1 - Junior,Systems,Request,2 - Normal,1 - Low,5
301,1411,4 - Management,Hardware,Request,2 - Normal,3 - High,10
302,1742,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6
303,1532,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6
304,1937,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,2
305,1513,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
306,22,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,1
307,1007,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0
308,1840,1 - Junior,Systems,Request,2 - Normal,2 - Medium,13
309,1570,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,0
310,832,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,14
311,1595,3 - Senior,Systems,Request,2 - Normal,3 - High,7
312,1817,3 - Senior,Systems,Issue,2 - Normal,2 - Medium,3
313,767,2 - Regular,Systems,Request,2 - Normal,3 - High,21
314,956,4 - Management,Software,Request,2 - Normal,3 - High,4
315,1762,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0
316,490,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0
317,251,4 - Management,Software,Request,0 - Unclassified,2 - Medium,2
318,1738,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,0
319,1833,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,0
320,1602,3 - Senior,Hardware,Request,2 - Normal,3 - High,11
321,471,4 - Management,Access/Login,Issue,2 - Normal,0 - Unassigned,0
322,530,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,3
323,483,4 - Management,Access/Login,Request,2 - Normal,3 - High,0
324,1744,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0
325,469,2 - Regular,Software,Request,2 - Normal,2 - Medium,3
326,771,1 - Junior,Systems,Request,3 - Major,2 - Medium,21
327,1423,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,11
328,1614,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,21
329,1252,4 - Management,Access/Login,Issue,2 - Normal,3 - High,0
330,528,1 - Junior,Systems,Issue,2 - Normal,3 - High,1
331,1763,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,1
332,1453,3 - Senior,Software,Request,2 - Normal,2 - Medium,6
333,1146,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,19
334,1021,2 - Regular,Systems,Issue,2 - Normal,3 - High,5
335,622,2 - Regular,Systems,Request,3 - Major,3 - High,7
336,809,4 - Management,Access/Login,Request,2 - Normal,3 - High,2
337,1311,2 - Regular,Systems,Request,2 - Normal,1 - Low,26
338,466,3 - Senior,Software,Request,2 - Normal,2 - Medium,10
339,1269,2 - Regular,Software,Request,2 - Normal,3 - High,8
340,1460,4 - Management,Hardware,Request,2 - Normal,0 - Unassigned,35
341,68,4 - Management,Systems,Issue,3 - Major,3 - High,2
342,1206,2 - Regular,Hardware,Request,2 - Normal,1 - Low,32
343,1626,2 - Regular,Systems,Request,2 - Normal,3 - High,5
344,564,2 - Regular,Access/Login,Issue,2 - Normal,2 - Medium,0
345,1678,4 - Management,Software,Request,2 - Normal,3 - High,5
346,1906,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,10
347,203,3 - Senior,Hardware,Request,2 - Normal,1 - Low,11
348,1450,2 - Regular,Software,Request,2 - Normal,3 - High,7
349,47,4 - Management,Systems,Request,2 - Normal,3 - High,11
350,522,2 - Regular,Software,Request,2 - Normal,3 - High,11
351,716,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0
352,388,3 - Senior,Systems,Request,2 - Normal,3 - High,12
353,1057,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,8
354,439,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
355,548,4 - Management,Access/Login,Request,2 - Normal,1 - Low,1
356,23,2 - Regular,Software,Request,2 - Normal,2 - Medium,4
357,1366,3 - Senior,Software,Issue,2 - Normal,3 - High,4
358,1356,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,1
359,1293,2 - Regular,Systems,Request,2 - Normal,3 - High,5
360,1601,4 - Management,Systems,Request,2 - Normal,3 - High,5
361,78,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0
362,385,4 - Management,Systems,Request,2 - Normal,3 - High,8
363,114,4 - Management,Systems,Request,2 - Normal,3 - High,16
364,453,2 - Regular,Hardware,Issue,2 - Normal,3 - High,7
365,905,2 - Regular,Software,Issue,2 - Normal,3 - High,0
366,339,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0
367,1105,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
368,1462,4 - Management,Systems,Issue,2 - Normal,3 - High,3
369,1707,2 - Regular,Systems,Request,2 - Normal,1 - Low,9
370,334,1 - Junior,Access/Login,Request,3 - Major,3 - High,1
371,845,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0
372,1621,3 - Senior,Hardware,Request,4 - Critical,0 - Unassigned,10
373,282,2 - Regular,Software,Request,2 - Normal,2 - Medium,12
374,1167,2 - Regular,Systems,Request,2 - Normal,2 - Medium,19
375,1000,3 - Senior,Software,Request,2 - Normal,3 - High,4
376,260,3 - Senior,Software,Issue,2 - Normal,3 - High,2
377,1139,3 - Senior,Systems,Request,2 - Normal,2 - Medium,15
378,1510,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,14
379,1137,2 - Regular,Access/Login,Request,2 - Normal,3 - High,1
380,573,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0
381,239,2 - Regular,Systems,Issue,2 - Normal,3 - High,1
382,1222,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,1
383,156,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,9
384,432,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0
385,43,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,10
386,656,2 - Regular,Systems,Issue,2 - Normal,1 - Low,6
387,1044,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,17
388,1815,2 - Regular,Systems,Request,2 - Normal,1 - Low,25
389,262,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
390,112,3 - Senior,Hardware,Request,2 - Normal,3 - High,31
391,750,1 - Junior,Systems,Issue,3 - Major,2 - Medium,7
392,45,2 - Regular,Systems,Request,2 - Normal,2 - Medium,5
393,30,2 - Regular,Systems,Issue,2 - Normal,1 - Low,10
394,486,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,10
395,1497,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,26
396,233,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,1
397,414,3 - Senior,Systems,Request,3 - Major,3 - High,8
398,1496,2 - Regular,Systems,Request,2 - Normal,3 - High,6
399,822,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0
400,1904,1 - Junior,Systems,Issue,2 - Normal,0 - Unassigned,11
401,1976,4 - Management,Software,Request,2 - Normal,3 - High,3
